date,family_id,occurrences,first_previous_clock,last_previous_clock,first_current_clock,last_current_clock,median_gap_minutes,min_gap_minutes,max_gap_minutes,year,month,weekday
2022-10-11,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Tuesday
2022-10-12,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Wednesday
2022-10-13,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Thursday
2022-10-17,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Monday
2022-10-18,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Tuesday
2022-10-19,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Wednesday
2022-10-20,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Thursday
2022-10-24,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Monday
2022-10-25,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Tuesday
2022-10-26,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Wednesday
2022-10-27,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Thursday
2022-10-31,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,10,Monday
2022-11-01,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,11,Tuesday
2022-11-02,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,11,Wednesday
2022-11-03,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,11,Thursday
2022-11-07,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,11,Monday
2022-11-08,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,11,Tuesday
2022-11-09,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,11,Wednesday
2022-11-10,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,11,Thursday
2022-11-14,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,11,Monday
2022-11-15,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,11,Tuesday
2022-11-16,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,11,Wednesday
2022-11-17,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,11,Thursday
2022-11-21,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,11,Monday
2022-11-22,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,11,Tuesday
2022-11-23,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,11,Wednesday
2022-11-28,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,11,Monday
2022-11-29,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,11,Tuesday
2022-11-30,P33_C39_D64,1,21:57,21:57,23:01,23:01,64.0,64.0,64.0,2022,11,Wednesday
